2021-07-23 01:47:58,868 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 139640325535488 | procn MainProcess | procd 32265
2021-07-23 01:47:59,053 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139640317142784 | procn MainProcess | procd 32265
2021-07-23 01:48:40,090 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140298428184320 | procn MainProcess | procd 32299
2021-07-23 01:48:40,092 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140298436577024 | procn MainProcess | procd 32299
2021-07-23 01:48:40,097 --- [general] => INFO:20 (BASIC commands kick LOADED.) | thn basic_commands_thread | thd 140298428184320 | procn MainProcess | procd 32299
2021-07-23 01:48:40,100 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140298428184320 | procn MainProcess | procd 32299
2021-07-23 01:48:40,240 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140298419791616 | procn MainProcess | procd 32299
2021-07-23 01:49:18,637 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140638828254976 | procn MainProcess | procd 32414
2021-07-23 01:49:18,642 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140638819862272 | procn MainProcess | procd 32414
2021-07-23 01:49:18,646 --- [general] => INFO:20 (BASIC commands kick LOADED.) | thn basic_commands_thread | thd 140638819862272 | procn MainProcess | procd 32414
2021-07-23 01:49:18,647 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140638819862272 | procn MainProcess | procd 32414
2021-07-23 01:49:18,926 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140638828254976 | procn MainProcess | procd 32414
2021-07-23 01:50:51,126 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139700755142400 | procn MainProcess | procd 32584
2021-07-23 01:50:51,130 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 139700746749696 | procn MainProcess | procd 32584
2021-07-23 01:50:51,136 --- [general] => INFO:20 (BASIC commands kick LOADED.) | thn basic_commands_thread | thd 139700746749696 | procn MainProcess | procd 32584
2021-07-23 01:50:51,140 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139700746749696 | procn MainProcess | procd 32584
2021-07-23 01:50:51,283 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139700738356992 | procn MainProcess | procd 32584
2021-07-23 01:52:04,320 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139993906763520 | procn MainProcess | procd 32639
2021-07-23 01:52:04,326 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 139993898370816 | procn MainProcess | procd 32639
2021-07-23 01:52:04,339 --- [general] => INFO:20 (BASIC commands kick LOADED.) | thn basic_commands_thread | thd 139993898370816 | procn MainProcess | procd 32639
2021-07-23 01:52:04,342 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139993898370816 | procn MainProcess | procd 32639
2021-07-23 01:52:04,504 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139993889978112 | procn MainProcess | procd 32639
2021-07-23 01:52:29,316 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140101184419584 | procn MainProcess | procd 32680
